distrito,temperatura,superficie_ha
ARGANZUELA,16.285049833887044,3.22
BARAJAS,14.925479452054795,21.41
CARABANCHEL,16.328219178082193,28.96
CENTRO,16.684513338139872,0.0
CHAMBERI,16.69759753988084,0.0
FUENCARRAL-EL PARDO,14.190909090909091,91.11
HORTALEZA,13.221944444444443,77.19
MONCLOA-ARAVACA,13.639826865815003,59.83
MORATALAZ,14.187123287671234,10.25
PUENTE DE VALLECAS,17.220058528428098,78.38
SALAMANCA,16.440625,0.24
VILLA DE VALLECAS,15.884931506849314,62.68
VILLAVERDE,13.267397260273974,40.02
