,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,17.714071856287426,0.012853385040845105,3,2
8,18.057784431137726,0.0004450705021880642,3,2
16,17.818507462686565,0.01275197852743129,3,2
18,18.11299093655589,0.018742460232678112,3,2
24,16.795495495495494,0.012853385040845105,0,2
36,17.01801801801802,0.016794557208060504,3,2
39,17.72289156626506,0.004221776468970798,3,2
54,17.688358208955226,0.01834059064558877,3,2
56,18.015223880597016,0.018742460232678112,3,2
58,15.957492354740062,0.004221776468970798,0,4
59,16.67283582089552,0.003631670219549745,0,4
102,14.20089552238806,0.016794557208060504,2,3
103,14.957728706624607,0.0213426318378078,2,3
106,14.07078313253012,0.012853385040845105,2,3
107,14.636253776435046,0.017224162898307176,2,3
108,15.291317365269462,0.004221776468970798,0,4
112,17.968730650154797,0.05260342925490332,1,1
113,18.569113149847094,0.05260342925490332,1,1
114,18.458803986710965,0.0049828417592269,3,2
115,18.83993288590604,0.0049828417592269,3,2
