,temperatura,altitud,kmeans_k4,jerarquico_k4
4,16.118406593406593,637,1,3
8,15.919770773638968,672,1,1
18,16.846703296703296,625,0,3
24,15.549720670391062,645,1,3
35,17.03565459610028,660,1,1
36,15.755890410958903,671,1,1
38,15.849856733524357,699,1,1
54,16.216438356164385,628,0,3
56,16.41939058171745,605,0,3
58,14.63178082191781,611,3,2
59,14.79396551724138,660,1,1
102,13.095068493150684,686,1,1
103,13.711602209944752,595,3,2
104,6.423076923076923,565,2,4
106,13.16991643454039,586,3,2
107,13.832872928176796,706,1,1
108,13.761643835616438,659,1,1
109,17.925619834710744,681,1,1
110,16.532203389830507,645,1,3
111,16.81700288184438,703,1,1
112,17.592178770949722,607,0,3
113,17.34054794520548,607,0,3
114,18.29041095890411,571,0,3
115,16.462908011869438,571,0,3
